figure_number,origin,id,title,caption,path,evidence
12,validated_source_figure,fig_data_split_dialect_balance,Dialect and split balance,Final admitted rows by dialect and split for the two supervised tasks; stacked segments expose sparse labels and held-out coverage.,visuals/source_q1/fig_data_split_dialect_balance.png,development_only
13,validated_source_figure,fig_data_source_composition,Source composition,Largest provenance sources and their share of admitted normalization and identification rows.,visuals/source_q1/fig_data_source_composition.png,development_only
14,validated_source_figure,fig_data_text_length,Input-length distributions,Character-length distributions by dialect after frozen cleaning; boxes omit display outliers but source data retain them.,visuals/source_q1/fig_data_text_length.png,development_only
15,validated_source_figure,fig_data_evaluation_tracks,Registered evaluation-track composition,"Row counts in the frozen IID, source-held-out, external, and challenge tracks; only the twelve largest labels per task are displayed.",visuals/source_q1/fig_data_evaluation_tracks.png,development_only
16,validated_source_figure,fig_data_synthetic_footprint,Synthetic-data footprint,Authentic and traceable train-only perturbation rows by dialect; synthetic rows are not evaluation evidence.,visuals/source_q1/fig_data_synthetic_footprint.png,development_only
17,validated_source_figure,fig_data_romanized_coverage,Romanized challenge coverage,Dialect support and median sequence lengths for the frozen real romanized source-held-out track.,visuals/source_q1/fig_data_romanized_coverage.png,development_only
18,validated_source_figure,fig_data_quality_tiers,Dataset quality tiers,"Frozen provenance/quality tiers for admitted task rows, retaining explicit uncertainty rather than imputing provenance.",visuals/source_q1/fig_data_quality_tiers.png,development_only
19,validated_source_figure,fig_data_source_dialect_coverage,Source–dialect coverage matrix,"Log-scaled row counts for the twelve largest normalization sources, making missing source–dialect cells explicit.",visuals/source_q1/fig_data_source_dialect_coverage.png,development_only
20,validated_source_figure,fig_tokenizer_vocab_scaling,Tokenizer vocabulary scaling,"Intrinsic token cost and fertility across family, corpus balance, and vocabulary size.",visuals/source_q1/fig_tokenizer_vocab_scaling.png,development_only
21,validated_source_figure,fig_tokenizer_dialect_fertility,Tokenizer cost by dialect,Tokens per character for the validation-shortlisted candidates across the frozen dialect inventory.,visuals/source_q1/fig_tokenizer_dialect_fertility.png,development_only
22,validated_source_figure,fig_tokenizer_fairness,Tokenizer dialect parity,Worst-to-best cost ratio versus Gini dispersion for every screened tokenizer; highlighted candidates entered the proxy study.,visuals/source_q1/fig_tokenizer_fairness.png,development_only
23,validated_source_figure,fig_tokenizer_proxy_stability,Tokenizer proxy stability,Three-seed proxy-language-model quality and throughput for shortlisted tokenizers.,visuals/source_q1/fig_tokenizer_proxy_stability.png,development_only
24,validated_source_figure,fig_pretraining_acceptance,Pretraining corpus acceptance gate,Accepted share and mutually recorded rejection reasons for the pinned FineWeb-2 Bengali source.,visuals/source_q1/fig_pretraining_acceptance.png,development_only
25,validated_source_figure,fig_pretraining_shard_balance,Pretraining shard balance,Token volume and deterministic validation allocation across immutable packed-source shards.,visuals/source_q1/fig_pretraining_shard_balance.png,development_only
26,validated_source_figure,fig_model_parameter_decomposition,Model parameter decomposition,"Token-active and inactive expert capacity for the dense, Switch, shared-expert MoE, and Boichitro architectures.",visuals/source_q1/fig_model_parameter_decomposition.png,development_only
27,validated_source_figure,fig_model_throughput_memory,Measured systems efficiency,"GB10 throughput, peak memory, and active parameter fraction under the same batch and sequence length.",visuals/source_q1/fig_model_throughput_memory.png,development_only
28,validated_source_figure,fig_foundation_loss_components,Foundation continuation loss components,Logged LM and multi-token-prediction losses for compute-matched 200M-token continuations.,visuals/source_q1/fig_foundation_loss_components.png,development_only
29,validated_source_figure,fig_foundation_router_dynamics,Foundation router dynamics,Expert-load variation and router entropy over matched Switch and shared-expert MoE continuation.,visuals/source_q1/fig_foundation_router_dynamics.png,development_only
30,validated_source_figure,fig_foundation_router_stability,Router stability summary,"Registered diagnostic summary for load balance, sustained threshold exceedance, and held-out BPC.",visuals/source_q1/fig_foundation_router_stability.png,development_only
31,validated_source_figure,fig_task_stage_s_trajectories,Normalization validation trajectories,Mean and seed dispersion of macro chrF++ at registered Stage-S validation checkpoints for completed main runs.,visuals/source_q1/fig_task_stage_s_trajectories.png,development_only
32,validated_source_figure,fig_task_replay_tradeoff,Main-run retention trade-off,All main-run normalization checkpoints in development space; the dashed line is the fixed replay guard.,visuals/source_q1/fig_task_replay_tradeoff.png,development_only
33,validated_source_figure,fig_task_stage_id_trajectories,Identification validation trajectories,Mean and seed dispersion of regional macro-F1 during causal identification specialization.,visuals/source_q1/fig_task_stage_id_trajectories.png,development_only
34,validated_source_figure,fig_task_seed_stability,Main-run seed stability,Individual seeds and mean ± standard deviation at the validation-selected checkpoints.,visuals/source_q1/fig_task_seed_stability.png,development_only
35,validated_source_figure,fig_task_norm_dialect_heatmap,Validation normalization by dialect,Seed-mean chrF++ at each run's selected normalization checkpoint; blank cells denote unsupported dialects.,visuals/source_q1/fig_task_norm_dialect_heatmap.png,development_only
36,validated_source_figure,fig_task_id_class_heatmap,Validation identification by class,Seed-mean per-class F1 at validation-selected causal identification checkpoints.,visuals/source_q1/fig_task_id_class_heatmap.png,development_only
37,validated_source_figure,fig_task_id_confusion,Validation identification confusion structure,"Seed-mean row-normalized confusion at selected causal checkpoints, shown only for computationally complete main variants.",visuals/source_q1/fig_task_id_confusion.png,development_only
38,validated_source_figure,fig_task_calibration,Validation calibration,Reliability curves and ECE-15 for temperature-calibrated causal identification checkpoints.,visuals/source_q1/fig_task_calibration.png,development_only
39,validated_source_figure,fig_task_training_efficiency,Task-stage training efficiency,"Wall time, throughput, and peak memory for completed normalization and identification stages.",visuals/source_q1/fig_task_training_efficiency.png,development_only
40,validated_source_figure,fig_task_stage_loss_components,Task-stage optimization curves,"Seed-aggregated smoothed training loss over adaptation, normalization, and causal identification stages.",visuals/source_q1/fig_task_stage_loss_components.png,development_only
41,validated_source_figure,fig_validation_checkpoint_selection,Validation checkpoint selection,"Selected checkpoint locations and objectives across seeds, documenting early-selection variation without test access.",visuals/source_q1/fig_validation_checkpoint_selection.png,development_only
42,validated_source_figure,fig_classical_norm_dialect,Classical normalization error structure,Per-dialect chrF++ for source-blind controls. Legacy word-rewrite test values use gold dialect and are labeled only as oracle evidence.,visuals/source_q1/fig_classical_norm_dialect.png,prior_test_descriptive
43,validated_source_figure,fig_classical_id_class,Classical identification error structure,"Per-class F1 for the selected character n-gram SVM across IID, source-OOD, and external-transcript tracks.",visuals/source_q1/fig_classical_id_class.png,prior_test_descriptive
44,validated_source_figure,fig_development_source_blind_fusion,Development-only source-blind fusion gains,"Six paired M0/M1 runs. Normalization uses semantic-group-held-out selector predictions; identification uses the fixed calibrated neural/SVM blend. Settings were selected on development data, so this is exploratory evidence. Diamonds show mean ± seed SD.",visuals/source_q1/fig_development_source_blind_fusion.png,development_only
45,documentation_generated,g01_dataset_core_counts,Core frozen-data inventory,"Data-driven overview of admitted, excluded, synthetic, romanized, and tokenizer-training records.",visuals/generated/g01_dataset_core_counts.png,documentation_snapshot
46,documentation_generated,g02_exclusion_reasons,Largest recorded exclusion reasons,The largest explicit exclusion decisions retained by the data-build audit trail.,visuals/generated/g02_exclusion_reasons.png,documentation_snapshot
47,documentation_generated,g03_main_normalization,Main development normalization,Mean and sample standard deviation across the three completed development seeds; no locked-test claim is implied.,visuals/generated/g03_main_normalization.png,documentation_snapshot
48,documentation_generated,g04_main_identification,Main development identification,Mean and sample standard deviation across the three completed development seeds; no locked-test claim is implied.,visuals/generated/g04_main_identification.png,documentation_snapshot
49,documentation_generated,g05_fusion_transfer,No-retuning fusion transfer,Development-only fixed source-blind fusion transferred to all completed M2/M3 runs.,visuals/generated/g05_fusion_transfer.png,documentation_snapshot
50,documentation_generated,g06_systems_efficiency,Measured training throughput and memory,GB10 benchmark showing that active-parameter matching does not imply wall-clock matching.,visuals/generated/g06_systems_efficiency.png,documentation_snapshot
51,documentation_generated,g07_evidence_completion,Documentation-time evidence completion,"Current filesystem-derived completion, separated from the older readiness audit.",visuals/generated/g07_evidence_completion.png,documentation_snapshot
52,documentation_generated,g08_data_gates,Frozen data-engineering gates,Automated gates pass except the explicitly manual native-speaker review requirement.,visuals/generated/g08_data_gates.png,documentation_snapshot
53,documentation_generated,g09_storage_composition,Experiment storage by artifact class,Logical file sizes show why documentation cannot substitute for datasets and checkpoints.,visuals/generated/g09_storage_composition.png,documentation_snapshot
54,documentation_generated,g10_pipeline_state,Pipeline state file at the documentation snapshot,"The state file reports the bidirectional stage as running, but no live training process was observed.",visuals/generated/g10_pipeline_state.png,documentation_snapshot
55,documentation_generated,g11_normalization_split_inventory,Normalization rows by dialect and split,Authentic and train-only synthetic rows aggregated from the frozen dataset report.,visuals/generated/g11_normalization_split_inventory.png,documentation_snapshot
56,documentation_generated,g12_identification_split_inventory,Identification rows by dialect and split,The 13-label identification inventory across development and protected evaluation tracks.,visuals/generated/g12_identification_split_inventory.png,documentation_snapshot
57,documentation_generated,g13_experiment_lifecycle,End-to-end experiment lifecycle,"From immutable inputs through development selection, protocol freeze, locked evaluation, and human evidence.",visuals/generated/g13_experiment_lifecycle.png,documentation_snapshot
58,documentation_generated,g14_data_provenance,Data provenance and task construction,"Source-specific adapters feed a canonical schema before cleaning, deduplication, splitting, and task views.",visuals/generated/g14_data_provenance.png,documentation_snapshot
59,documentation_generated,g15_leakage_firewall,Leakage and test-access firewall,"Exact, compact, near-duplicate, group, and source controls precede an immutable locked-test boundary.",visuals/generated/g15_leakage_firewall.png,documentation_snapshot
60,documentation_generated,g16_tokenizer_selection,Tokenizer selection funnel,"Candidate training, intrinsic fairness gates, fixed-budget proxy evaluation, and immutable freeze.",visuals/generated/g16_tokenizer_selection.png,documentation_snapshot
61,documentation_generated,g17_model_family,Compute-controlled model family,"All systems share the tokenizer, width, depth, token budgets, and active-parameter target while routing structures differ.",visuals/generated/g17_model_family.png,documentation_snapshot
62,documentation_generated,g18_boichitro_router,Boichitro routing and auxiliary supervision,"Causal dialect evidence, task-conditioned late bias, shared experts, source adversary, and GroupDRO.",visuals/generated/g18_boichitro_router.png,documentation_snapshot
63,documentation_generated,g19_training_stages,Registered training stages,"The staged program separates data/tokenizer gates, foundation learning, continuation, task adaptation, and identification.",visuals/generated/g19_training_stages.png,documentation_snapshot
64,documentation_generated,g20_evaluation_tracks,Evaluation tracks and evidence classes,"Development selection is separated from IID, source-OOD, external-transcript, romanized, robustness, and human tracks.",visuals/generated/g20_evaluation_tracks.png,documentation_snapshot
65,documentation_generated,g21_statistical_workflow,Confirmatory statistical workflow,"Per-example paired evidence is clustered by semantic group, resampled hierarchically, tested, and multiplicity corrected.",visuals/generated/g21_statistical_workflow.png,documentation_snapshot
