path,bytes,sha256,purpose,top_level_keys,leaf_settings
configs/locked_evaluation.yaml,1876,0dd0405a4fae43fd54d91e9ccee6462b060816e8e7fb418226e01c8cf0d72a72,Defines the immutable locked evaluation contract.,"protocol_id, protocol_freeze_id, task_protocol_id, normalization, identification, fusion, routing, test_policy",35
configs/locked_evaluation_smoke.yaml,909,6351b9920ccb552ec064f5e9a5e92d6746e7f18efb4613c19a855c65d5b436eb,Defines the immutable locked evaluation contract.,"protocol_id, task_protocol_id, normalization, identification, routing, test_policy",20
configs/native_review.yaml,547,196d6be30e3a9dbf402a80cbb6d39455ff1285eee7273cb852f4b6b01f36c909,Defines the stratified native-speaker data review.,"protocol_id, input, minimum_unique_reviewers, thresholds, policy_on_failure",13
configs/optimizer_pilot.yaml,360,609decc550383fb3f86634ba3e1409f736dde5360b211e0df10c2d7619ab8c35,Defines the AdamW-only control learning-rate pilot.,"protocol_prefix, variant, seed, adamw_learning_rates, stage_a_token_budget, stage_s_token_budget, normalization_validation_limit, replay_validation_examples, stage_s_validation_checkpoints, selection_metric, selection_mode, test_access",12
configs/pilot_m1_aux_router_10m.yaml,1062,9846114f497233c852d1ef90e45d7a6e8cb1fc7cd3bf8fa7e30e2abd6cb48b03,Defines a Switch-router repair pilot.,"run_id, seed, data_seed, architecture, initial_checkpoint, upcycle_noise_std, upcycle_router_init_std, packed_data, token_budget, scheduler_token_budget, validation_token_cap, evaluate_at_start, micro_batch_size, gradient_accumulation_steps, global_token_batch, warmup_fraction, optimizer_selection_report, eval_every_tokens, checkpoint_every_tokens, log_every_optimizer_steps, resume_checkpoint_every_steps, model_config, model_overrides, fixed_token_budget, development_only, test_data_access, optimizer",38
configs/pilot_m1_loss_free_router_10m.yaml,1067,b12d9da03febd69fb44519b11c9c7bc101b7c04865ba70d185a75a47e5b32ecb,Defines a Switch-router repair pilot.,"run_id, seed, data_seed, architecture, initial_checkpoint, upcycle_noise_std, upcycle_router_init_std, packed_data, token_budget, scheduler_token_budget, validation_token_cap, evaluate_at_start, micro_batch_size, gradient_accumulation_steps, global_token_batch, warmup_fraction, optimizer_selection_report, eval_every_tokens, checkpoint_every_tokens, log_every_optimizer_steps, resume_checkpoint_every_steps, model_config, model_overrides, fixed_token_budget, development_only, test_data_access, optimizer",38
configs/pilot_m2_annealed_20m.yaml,1183,f14a784d26b979c84ab6b8997626329fa4cd9f5699740d552c4ac8b11c7186b8,Defines a dense-to-MoE upcycling strategy pilot.,"run_id, seed, data_seed, architecture, initial_checkpoint, upcycle_noise_std, packed_data, token_budget, scheduler_token_budget, validation_token_cap, evaluate_at_start, micro_batch_size, gradient_accumulation_steps, global_token_batch, warmup_fraction, optimizer_selection_report, eval_every_tokens, checkpoint_every_tokens, log_every_optimizer_steps, resume_checkpoint_every_steps, model_config, model_overrides, fixed_token_budget, development_only, absolute_fully_banked_tokens, absolute_release_end_tokens, test_data_access, optimizer",41
configs/pilot_m2_banked_20m.yaml,1067,b82b32fa409bfcdd6bfa00a938abdac27ff55d13089492cf8ecd9cbab4477273,Defines a dense-to-MoE upcycling strategy pilot.,"run_id, seed, data_seed, architecture, initial_checkpoint, upcycle_noise_std, packed_data, token_budget, scheduler_token_budget, validation_token_cap, evaluate_at_start, micro_batch_size, gradient_accumulation_steps, global_token_batch, warmup_fraction, optimizer_selection_report, eval_every_tokens, checkpoint_every_tokens, log_every_optimizer_steps, resume_checkpoint_every_steps, model_config, model_overrides, fixed_token_budget, development_only, absolute_banked_tokens, test_data_access, optimizer",38
configs/pilot_m2_paired_20m.yaml,1161,34507ae2c9909dc44f20428d7e2c6cec0d5725abcc48013d59d75393d572ba88,Defines a dense-to-MoE upcycling strategy pilot.,"run_id, seed, data_seed, architecture, initial_checkpoint, upcycle_noise_std, packed_data, token_budget, scheduler_token_budget, validation_token_cap, evaluate_at_start, micro_batch_size, gradient_accumulation_steps, global_token_batch, warmup_fraction, optimizer_selection_report, eval_every_tokens, checkpoint_every_tokens, log_every_optimizer_steps, resume_checkpoint_every_steps, model_config, model_overrides, fixed_token_budget, development_only, pairing_constraint, test_data_access, optimizer",40
configs/pilot_m2_scratch_20m.yaml,945,69f74fed0ff2e8b728531297c7de5d267a7855fcc3a4d40b8b3e126958d19673,Defines a dense-to-MoE upcycling strategy pilot.,"run_id, seed, data_seed, architecture, packed_data, token_budget, scheduler_token_budget, validation_token_cap, evaluate_at_start, micro_batch_size, gradient_accumulation_steps, global_token_batch, warmup_fraction, optimizer_selection_report, eval_every_tokens, checkpoint_every_tokens, log_every_optimizer_steps, resume_checkpoint_every_steps, model_config, model_overrides, fixed_token_budget, development_only, test_data_access, optimizer",35
configs/pilot_m2_unbanked_20m.yaml,1036,72cca610ba0f2b0da9df88ff3ee16fe3c19a226098977d015942936e23cf4af4,Defines a dense-to-MoE upcycling strategy pilot.,"run_id, seed, data_seed, architecture, initial_checkpoint, upcycle_noise_std, packed_data, token_budget, scheduler_token_budget, validation_token_cap, evaluate_at_start, micro_batch_size, gradient_accumulation_steps, global_token_batch, warmup_fraction, optimizer_selection_report, eval_every_tokens, checkpoint_every_tokens, log_every_optimizer_steps, resume_checkpoint_every_steps, model_config, model_overrides, fixed_token_budget, development_only, test_data_access, optimizer",37
configs/pretraining_corpus.yaml,1406,44c4a6dbca7bc8ab222ba46efc5bff39406745447953f37193398cf84f99f987,Pins and verifies the general Bangla pretraining corpus.,"dataset_id, revision, subset, license, common_crawl_terms_apply, local_raw_dir, train_files, source_lfs_sha256, target_train_tokens, target_validation_tokens, validation_hash_per_mille, minimum_characters, maximum_characters, minimum_bengali_letter_ratio, minimum_language_score, shard_documents, decontamination",24
configs/robustness_evaluation.yaml,690,563591f11beff60cc9c1a212eb2f4d33d73335ac026363914dd0b0b21cbfbf26,Defines registered perturbation robustness evaluation.,"protocol_id, base_protocol_id, task_protocol_id, locked_evaluation_config, families, severities, perturbation_seed, sampling_seed, examples_per_dialect, normalization_frame, identification_frame, normalization_batch_size, normalization_max_new_tokens, identification_batch_size, primary_curves, sampling_policy",17
configs/routing_analysis.yaml,290,b1423d2369224d527fe4bfa38340d916394565b3ef6149c6923bcea93ca9d33c,Defines expert-routing trace and specialization analysis.,"protocol_id, suffix, variants, seeds, tasks, track, permutation_replicates, permutation_seed, metrics",9
configs/stage_s_retention_pilot.yaml,2232,ed11707e1fec26e53b9a8dda4edbf162659dcad07bb35ddb012c6860f41d236a,Selects the supervised normalization/replay retention schedule.,"protocol_id, development_variant, development_seed, stage_a_checkpoint, rejected_default_stage_s, token_budget, validation_checkpoints, normalization_validation_limit, replay_validation_examples, replay_degradation_limit, selection, candidates",54
configs/statistical_analysis.yaml,971,a8708615c4e6891e3dcad8729119e899f8b11022930771dce49a3359694619b6,"Defines paired uncertainty, testing, and multiplicity control.","protocol_id, bootstrap_seed, bootstrap_replicates, randomization_seed, randomization_replicates, confidence_level, resampling_unit, repeated_row_dependence, confirmatory_comparisons, multiple_testing, primary_inference",31
configs/statistical_analysis_ablations.yaml,2861,09d5a1cf0c434a00dead63c61092ea3107ba56c42ab5e200a438a9d9da641e58,"Registers confirmatory, factorial, or optimization ablations.","protocol_id, output_subdir, bootstrap_seed, bootstrap_replicates, randomization_seed, randomization_replicates, confidence_level, resampling_unit, repeated_row_dependence, confirmatory_comparisons, multiple_testing, primary_inference",101
configs/statistical_analysis_fused.yaml,1661,5cb04344e5d2607fff5402871d3957fea4914b9204dffe9d65d330509088ad84,"Defines paired uncertainty, testing, and multiplicity control.","protocol_id, output_subdir, bootstrap_seed, bootstrap_replicates, randomization_seed, randomization_replicates, confidence_level, resampling_unit, repeated_row_dependence, confirmatory_comparisons, multiple_testing, primary_inference",47
configs/statistical_analysis_specialized.yaml,1310,abc9dc692ebc40110b8fe9ee4037763a024c1a77eb99fd02322d9eb91d3baaf8,"Defines paired uncertainty, testing, and multiplicity control.","protocol_id, output_subdir, bootstrap_seed, bootstrap_replicates, randomization_seed, randomization_replicates, confidence_level, resampling_unit, repeated_row_dependence, confirmatory_comparisons, multiple_testing, primary_inference",36
configs/switch_router_selection.yaml,629,48eb0d0ac0631d73955bdb2c516d2cf34ec43fc4dcc770101c7f7d37551429ed,Selects a stable Switch routing strategy.,"protocol_id, seed, test_data_access, guards, selection, candidates",13
configs/task_experiments.yaml,3234,7097a82451f470bbf93f600797830c6705153ec436a8de3dab8f3f782102c5f4,"Defines supervised adaptation, replay retention, and seed matrix.","protocol_id, stage_s_schedule_selection, seeds, variants, stage_a, stage_s, stage_id, evaluation, artifact_retention",94
configs/task_experiments_rejected_stage_s_default.yaml,2588,f3d5d6e251fc72d9fa348d460b95cf741b62d8a1962d0f97d86ab0d6bbee0da5,"Defines supervised adaptation, replay retention, and seed matrix.","protocol_id, seeds, variants, stage_a, stage_s, stage_id, evaluation, artifact_retention",87
configs/task_experiments_smoke.yaml,2120,d4118b5ac3a49be3ce52a134b6a9a9742e61f9a2cbca93420a77c9df3cdd995c,"Defines supervised adaptation, replay retention, and seed matrix.","protocol_id, seeds, variants, stage_a, stage_s, stage_id, evaluation",75
configs/tokenizer_proxy.yaml,473,d53bdf400180028f3544677d8c37580b564980ede57f59914c6e1fe6222955e1,Defines fixed-budget proxy language-model tokenizer evaluation.,"seeds, training_token_budget_per_seed, block_size, micro_batch_size, learning_rate, weight_decay, warmup_fraction, min_lr_ratio, gradient_clip, evaluation_rows_per_dialect, model, selection",19
configs/tokenizer_screen.yaml,551,57e413a7115aa120edd9e08b65974051f9a9925355a2af806e58b6ff5818d4ef,Defines the intrinsic tokenizer candidate screen.,"seed, balance_alpha, families, vocab_sizes, intrinsic_shortlist, proxy_shortlist_rule, hard_gates, selection_data, test_splits_forbidden",14
configs/upcycling_strategy_selection.yaml,1030,40e0f1cce37678cf7ed164673ddd149f50a14a37eca472a07502ae381c911fee,Selects the validation-safe dense-to-MoE transfer strategy.,"protocol_id, seed, baseline_condition, test_data_access, guards, selection, conditions",24
